"Date","plot","soilWC","temp","saltype","salcount","site"
"9/11/2014","HI",NA,17.62222222,"rbnh",15,"PO"
"9/18/2014","HI",37.13,14.75555556,"rbnh",9,"PO"
"9/19/2014","LO",NA,12.88,"rbnh",38,"PO"
"9/25/2014","LO",36.83,13.24444444,"rbnh",43,"PO"
"9/28/2014","HI",22.15,15.01111111,"rbnh",18,"PO"
"10/2/2014","LO",26.5,15.01111111,"rbnh",22,"PO"
"10/5/2014","HI",29.7,9.277777778,"rbnh",3,"PO"
"10/9/2014","HI",39.3,12.2222222,"rbnh",10,"PO"
"10/12/2014","LO",35.4,10.18888889,"rbnh",45,"PO"
"10/16/2014","LO",41.98,12.35555556,"rbnh",23,"PO"
"10/23/2014","LO",41.2,8.411111111,"rbnh",9,"PO"
"10/26/2014","HI",28.3,11.45555556,"rbnh",11,"PO"
"10/30/2014","HI",26.3,11.75,"rbnh",2,"PO"
"11/2/2014","LO",33.76,4.711111111,"rbnh",3,"PO"
"11/6/2014","LO",36.6,10.24444444,"rbnh",11,"PO"
"11/9/2014","HI",NA,8.144444444,"rbnh",3,"PO"
"11/13/2014","HI",24.1,9.511111111,"rbnh",1,"PO"
"3/22/2015","LO",NA,10.35555556,"rbnh",7,"PO"
"4/5/2015","HI",NA,5.333333333,"rbnh",32,"PO"
"4/28/2015","HI",39.24444444,11.26666667,"rbnh",34,"PO"
"5/1/2015","LO",44.33333333,9.711111111,"rbnh",23,"PO"
"5/4/2015","HI",36.05555556,12.21111111,"rbnh",27,"PO"
"5/8/2015","LO",26.64444444,17.16666667,"rbnh",4,"PO"
"5/14/2015","HI",31.14444444,12.2,"rbnh",11,"PO"
"5/16/2015","LO",28.17777778,14.73333333,"rbnh",6,"PO"
"5/21/2015","HI",25.88888889,12.62222222,"rbnh",22,"PO"
"5/26/2015","HI",NA,15.57777778,"rbnh",11,"PO"
"5/27/2015","LO",20.4,16.1,"rbnh",0,"PO"
"6/3/2015","HI",42.78888889,12.77777778,"rbnh",15,"PO"
"6/8/2015","LO",43.94444444,13.56666667,"rbnh",17,"PO"
"6/10/2015","HI",29.84444444,15.9,"rbnh",8,"PO"
"6/11/2015","LO",24.11111111,16.84444444,"rbnh",2,"PO"
"6/16/2015","HI",32.55555556,18.92222222,"rbnh",2,"PO"
"6/18/2015","LO",25.01111111,19.34444444,"rbnh",2,"PO"
"6/24/2015","HI",28.5,19.83333333,"rbnh",1,"PO"
"6/25/2015","LO",17.65555556,19.34444444,"rbnh",1,"PO"
"6/30/2015","HI",37.55555556,17.16666667,"rbnh",4,"PO"
"7/1/2015","LO",27.24444444,16.78888889,"rbnh",6,"PO"
"7/7/2015","HI",42.83333333,18.75555556,"rbnh",20,"PO"
"7/9/2015","LO",30.21111111,19.62222222,"rbnh",9,"PO"
"7/16/2015","HI",45.72222222,17.3,"rbnh",23,"PO"
"9/11/2014","HI",NA,17.62222222,"ponh",5,"PO"
"9/18/2014","HI",37.13,14.75555556,"ponh",5,"PO"
"9/19/2014","LO",NA,12.88,"ponh",11,"PO"
"9/25/2014","LO",36.83,13.24444444,"ponh",9,"PO"
"9/28/2014","HI",22.15,15.01111111,"ponh",6,"PO"
"10/2/2014","LO",26.5,15.01111111,"ponh",9,"PO"
"10/5/2014","HI",29.7,9.277777778,"ponh",2,"PO"
"10/9/2014","HI",39.3,12.2222222,"ponh",8,"PO"
"10/12/2014","LO",35.4,10.18888889,"ponh",4,"PO"
"10/16/2014","LO",41.98,12.35555556,"ponh",3,"PO"
"10/23/2014","LO",41.2,8.411111111,"ponh",0,"PO"
"10/26/2014","HI",28.3,11.45555556,"ponh",3,"PO"
"10/30/2014","HI",26.3,11.75,"ponh",0,"PO"
"11/2/2014","LO",33.76,4.711111111,"ponh",0,"PO"
"11/6/2014","LO",36.6,10.24444444,"ponh",0,"PO"
"11/9/2014","HI",NA,8.144444444,"ponh",0,"PO"
"11/13/2014","HI",24.1,9.511111111,"ponh",0,"PO"
"3/22/2015","LO",NA,10.35555556,"ponh",2,"PO"
"4/5/2015","HI",NA,5.333333333,"ponh",2,"PO"
"4/28/2015","HI",39.24444444,11.26666667,"ponh",4,"PO"
"5/1/2015","LO",44.33333333,9.711111111,"ponh",11,"PO"
"5/4/2015","HI",36.05555556,12.21111111,"ponh",9,"PO"
"5/8/2015","LO",26.64444444,17.16666667,"ponh",1,"PO"
"5/14/2015","HI",31.14444444,12.2,"ponh",1,"PO"
"5/16/2015","LO",28.17777778,14.73333333,"ponh",1,"PO"
"5/21/2015","HI",25.88888889,12.62222222,"ponh",3,"PO"
"5/26/2015","HI",NA,15.57777778,"ponh",1,"PO"
"5/27/2015","LO",20.4,16.1,"ponh",0,"PO"
"6/3/2015","HI",42.78888889,12.77777778,"ponh",2,"PO"
"6/8/2015","LO",43.94444444,13.56666667,"ponh",12,"PO"
"6/10/2015","HI",29.84444444,15.9,"ponh",0,"PO"
"6/11/2015","LO",24.11111111,16.84444444,"ponh",1,"PO"
"6/16/2015","HI",32.55555556,18.92222222,"ponh",0,"PO"
"6/18/2015","LO",25.01111111,19.34444444,"ponh",1,"PO"
"6/24/2015","HI",28.5,19.83333333,"ponh",0,"PO"
"6/25/2015","LO",17.65555556,19.34444444,"ponh",0,"PO"
"6/30/2015","HI",37.55555556,17.16666667,"ponh",2,"PO"
"7/1/2015","LO",27.24444444,16.78888889,"ponh",6,"PO"
"7/7/2015","HI",42.83333333,18.75555556,"ponh",4,"PO"
"7/9/2015","LO",30.21111111,19.62222222,"ponh",0,"PO"
"7/16/2015","HI",45.72222222,17.3,"ponh",5,"PO"
"0","LO",62.4,3.32,"rbnh",0,"BL"
"1","LO",64.5,4.84,"rbnh",0,"BL"
"2","LO",69.3583742,5.866666667,"rbnh",1,"BL"
"3","HI",60.6984759,6.461111111,"rbnh",0,"BL"
"4","HI",59.5813752,6.594444444,"rbnh",3,"BL"
